1	udiUydI8y	Molly Collins	mollycollins@mail.com	mcollins	CEO	EMPLOYEE		CEO			10	f
2	B71fWZn9A	Christopher Wise	0christopherwise@yahoo.com	christopherw	IT	EMPLOYEE	udiUydI8y	CIO			260	f
3	R5Jzp60ob	Victoria Rowe	1rowe@mail.com	victoriar	Support	EMPLOYEE	B71fWZn9A	Vice President			90	f
4	xXAAXVxLO	Molly Chambers	2mollychambers@mail.com	mchambers	IT	EMPLOYEE	R5Jzp60ob	Senior Analyst			120	f
5	9JW14cAaL	Hailey Boyer	3hailey.boyer@mail.com	hboyer	IT	EMPLOYEE	xXAAXVxLO	Developer			10	f
6	6uVI1YDU6	Harper Barnes	4harper.barnes@mail.com	hbarnes	Operations	EMPLOYEE	xXAAXVxLO	Administrator			260	f
7	JzaIQ1ZAK	Ashley Leblanc	5ashley.leblanc@yahoo.com	ashleyl	IT	EMPLOYEE	xXAAXVxLO	Customer Rep			130	f
8	vFmo0Zb2S	Angel Huff	6angelhuff@gmail.com	angelh	Operations	EMPLOYEE	xXAAXVxLO	Customer Rep			180	f
9	se8yOGLBw	Samantha Oneal	7samanthaoneal@yahoo.com	samanthao	Operations	EMPLOYEE	xXAAXVxLO	Sales Director			240	f
10	tYWcOMGZF	Camila Brooks	8camilabrooks@gmail.com	cbrooks	IT	EMPLOYEE	R5Jzp60ob	Senior Analyst			270	f
12	PeL5EehWi	Emily Dillard	10emily.dillard@mail.com	emilyd	IT	EMPLOYEE	tYWcOMGZF	Developer			50	f
13	EilwsgStO	Levi Sampson	11levi.sampson@yahoo.com	lsampson	Support	EMPLOYEE	tYWcOMGZF	Developer			170	f
14	T9tyiqHuq	Caleb Burks	12calebburks@mail.com	calebb	Operations	EMPLOYEE	R5Jzp60ob	Senior Analyst			300	f
15	m28uyUFqs	Kayla Guthrie	13guthrie@mail.com	kaylag	IT	EMPLOYEE	T9tyiqHuq	QA			40	f
16	MwbVZUwJY	Zoey Blevins	14blevins@mail.com	zoeyb	Support	EMPLOYEE	T9tyiqHuq	Sales Director			80	f
17	HBwJZOfzY	Isabella Macdonald	15macdonald@yahoo.com	imacdonald	Operations	EMPLOYEE	T9tyiqHuq	Analyst			250	f
18	jYqfYuTv6	Victoria Edwards	16victoria.edwards@yahoo.com	vedwards	IT	EMPLOYEE	T9tyiqHuq	Administrator			120	f
19	uvUTBE4id	Allison Spears	17allison.spears@yahoo.com	aspears	IT	EMPLOYEE	R5Jzp60ob	Senior Architect			140	f
20	W6u5lunFN	Elijah Walton	18elijah.walton@gmail.com	elijahw	IT	EMPLOYEE	uvUTBE4id	Customer Rep			130	f
21	BNxgsxjd7	Owen Tyson	19tyson@yahoo.com	otyson	Operations	EMPLOYEE	uvUTBE4id	Administrator			100	f
22	dA0lY7yJ0	Harper Pittman	20pittman@yahoo.com	hpittman	IT	EMPLOYEE	R5Jzp60ob	Director			210	f
23	PfRKUOVMH	Piper Spence	21spence@gmail.com	pipers	Operations	EMPLOYEE	dA0lY7yJ0	Customer Rep			150	f
24	Fw0fnHlua	John Meyers	22john.meyers@mail.com	johnm	IT	EMPLOYEE	dA0lY7yJ0	QA			30	f
25	ME7J0uRAx	Makayla Fuller	23makaylafuller@mail.com	makaylaf	IT	EMPLOYEE	dA0lY7yJ0	Analyst			50	f
26	ok97SPSSh	Joseph Alston	24joseph.alston@gmail.com	josepha	Support	EMPLOYEE	B71fWZn9A	Executive Director			60	f
27	skbLs4nBq	Sebastian Gray	25gray@mail.com	sebastiang	Support	EMPLOYEE	ok97SPSSh	Senior Analyst			190	f
28	SXumB0Qeq	Aubrey King	26king@mail.com	aking	Support	EMPLOYEE	skbLs4nBq	Manager			10	f
29	FEOy7Wrep	Aiden Mccullough	27mccullough@yahoo.com	aidenm	IT	EMPLOYEE	skbLs4nBq	Customer Rep			300	f
30	DakegxjH4	Madeline Rutledge	28rutledge@yahoo.com	madeliner	Support	EMPLOYEE	skbLs4nBq	Sales Director			160	f
31	DkjknsZAz	Caleb Bender	29caleb.bender@gmail.com	cbender	IT	EMPLOYEE	skbLs4nBq	Sales Director			210	f
32	4glQB3iWE	Grace Hess	30gracehess@yahoo.com	graceh	IT	EMPLOYEE	skbLs4nBq	Analyst			220	f
33	GpAJpqTFL	Ayden Beck	31aydenbeck@yahoo.com	abeck	IT	EMPLOYEE	ok97SPSSh	Director			80	f
34	NcdvA7x1F	London Goodman	32londongoodman@yahoo.com	lgoodman	Operations	EMPLOYEE	GpAJpqTFL	Manager			100	f
35	OicwkzSwl	Julia Klein	33juliaklein@gmail.com	jklein	Operations	EMPLOYEE	GpAJpqTFL	Customer Rep			100	f
36	OJcua6AZ3	Andrew Anderson	34andrewanderson@yahoo.com	andrewa	Operations	EMPLOYEE	GpAJpqTFL	Manager			270	f
37	X39UzqOtO	Nathan Duffy	35nathan.duffy@mail.com	nathand	Operations	EMPLOYEE	GpAJpqTFL	Customer Rep			220	f
38	IBNj8ZRAo	Ariana Beard	36beard@gmail.com	abeard	Support	EMPLOYEE	GpAJpqTFL	Analyst			240	f
39	QzCPu8W34	Parker Winters	37winters@mail.com	parkerw	Support	EMPLOYEE	B71fWZn9A	Executive Director			100	f
40	qW46BAgIq	Kylie Fowler	38fowler@gmail.com	kylief	Operations	EMPLOYEE	QzCPu8W34	Senior Analyst			290	f
41	SRRMoIXs2	Ella Mcleod	39ella.mcleod@mail.com	ellam	Support	EMPLOYEE	qW46BAgIq	Sales Director			230	f
42	lVA1P6uZV	Caroline Paul	40paul@gmail.com	cpaul	Operations	EMPLOYEE	qW46BAgIq	Administrator			10	f
43	Fu54bbOwO	Brandon Beasley	41brandon.beasley@gmail.com	bbeasley	Support	EMPLOYEE	qW46BAgIq	Sales Director			280	f
44	IS16zHQaE	London Johns	42london.johns@gmail.com	londonj	Support	EMPLOYEE	qW46BAgIq	Customer Rep			40	f
45	PFuCx4uQ2	Camila Hodge	43camilahodge@yahoo.com	chodge	IT	EMPLOYEE	QzCPu8W34	Senior Architect			180	f
46	PvO9nOZoj	Makayla Yates	44yates@mail.com	makaylay	Support	EMPLOYEE	PFuCx4uQ2	Manager			280	f
47	asQ0qVFbV	Aubree Bauer	45aubreebauer@yahoo.com	abauer	Support	EMPLOYEE	PFuCx4uQ2	Customer Rep			80	f
48	Ag8vGrdJw	Kevin Leach	46leach@yahoo.com	kevinl	Operations	EMPLOYEE	PFuCx4uQ2	Sales Director			150	f
49	6vPZKghhU	Jasmine Foreman	47foreman@mail.com	jforeman	Operations	EMPLOYEE	PFuCx4uQ2	Sales Director			190	f
50	3GAtJ2JnY	Hudson Rodriguez	48rodriguez@mail.com	hudsonr	Support	EMPLOYEE	QzCPu8W34	Director			170	f
